lines,path,appl_date,delete
"98/1/15/unscheduled-leave_8/"">unscheduled leave</a>",98/1/15/unscheduled-leave_8/,1/15/1998,FALSE
"98/12/23/delayed-arrivalunscheduled-leave_10/"">delayed arrival/unscheduled leave</a>",98/12/23/delayed-arrivalunscheduled-leave_10/,12/24/1998,FALSE
"99/1/8/open_13/"">open</a>",99/1/8/open_13/,1/8/1999,FALSE
"99/1/15/unscheduled-leave_16/"">unscheduled leave</a>",99/1/15/unscheduled-leave_16/,1/15/1999,FALSE
"99/3/9/early-dismissal_18/"">early dismissal</a>",99/3/9/early-dismissal_18/,3/9/1999,FALSE
"99/3/10/unscheduled-leave_20/"">unscheduled leave</a>",99/3/10/unscheduled-leave_20/,3/10/1999,FALSE
"99/9/16/unscheduled-leave_22/"">unscheduled leave</a>",99/9/16/unscheduled-leave_22/,9/16/1999,FALSE
"99/10/1/building-closure_24/"">building closure</a>",99/10/1/building-closure_24/,10/1/1999,FALSE
"00/1/20/unscheduled-leave_26/"">unscheduled leave</a>",00/1/20/unscheduled-leave_26/,1/20/2000,FALSE
"00/1/25/closed_35/"">closed</a>",00/1/25/closed_35/,1/25/2000,FALSE
"00/1/25/closed_28/"">closed</a>",00/1/25/closed_28/,1/26/2000,FALSE
"00/1/31/delayed-arrivalunscheduled-leave_39/"">delayed arrival/unscheduled leave</a>",00/1/31/delayed-arrivalunscheduled-leave_39/,1/31/2000,FALSE
"00/2/18/unscheduled-leave_42/"">unscheduled leave</a>",00/2/18/unscheduled-leave_42/,2/18/2000,FALSE
"00/4/16/wash-dc-unscheduled-leave_49/"">wash. dc unscheduled leave</a>",00/4/16/wash-dc-unscheduled-leave_49/,4/17/2000,FALSE
"01/2/22/open_57/"">open</a>",01/2/22/open_57/,2/22/2001,FALSE
"01/2/23/unscheduled-leave_51/"">unscheduled leave</a>",01/2/23/unscheduled-leave_51/,2/23/2001,FALSE
"02/12/4/open_78/"">open</a>",02/12/4/open_78/,12/4/2002,FALSE
"02/12/5/unscheduled-leave_80/"">unscheduled leave</a>",02/12/5/unscheduled-leave_80/,12/5/2002,FALSE
"02/12/6/open_84/"">open</a>",02/12/6/open_84/,12/6/2002,FALSE
"02/12/12/open_88/"">open</a>",02/12/12/open_88/,12/12/2002,FALSE
"03/1/17/unscheduled-leave_74/"">unscheduled leave</a>",03/1/17/unscheduled-leave_74/,1/17/2003,FALSE
"03/2/7/delayed-arrivalunscheduled-leave_72/"">delayed arrival/unscheduled leave</a>",03/2/7/delayed-arrivalunscheduled-leave_72/,2/7/2003,FALSE
"03/2/17/closed_70/"">closed</a>",03/2/17/closed_70/,2/18/2003,FALSE
"03/2/18/unscheduled-leave_68/"">unscheduled leave</a>",03/2/18/unscheduled-leave_68/,2/19/2003,FALSE
"03/2/19/open_62/"">open</a>",03/2/19/open_62/,2/20/2003,FALSE
"03/2/27/open_59/"">open</a>",03/2/27/open_59/,2/27/2003,FALSE
"03/2/28/unscheduled-leave_55/"">unscheduled leave</a>",03/2/28/unscheduled-leave_55/,2/28/2003,FALSE
"03/3/18/closed_53/"">closed</a>",03/3/18/closed_53/,3/18/2003,FALSE
"03/3/19/open_46/"">open</a>",03/3/19/open_46/,3/19/2003,FALSE
"03/9/17/closed_44/"">closed</a>",03/9/17/closed_44/,9/18/2003,FALSE
"03/9/18/closed_37/"">closed</a>",03/9/18/closed_37/,9/19/2003,FALSE
"03/12/25/closed_30/"">closed</a>",03/12/25/closed_30/,12/25/2003,FALSE
"04/1/26/unscheduled-leave_86/"">unscheduled leave</a>",04/1/26/unscheduled-leave_86/,1/26/2004,FALSE
"04/1/27/early-dismissal_76/"">early dismissal</a>",04/1/27/early-dismissal_76/,1/27/2004,FALSE
"04/1/27/unscheduled-leave_82/"">unscheduled leave</a>",04/1/27/unscheduled-leave_82/,01/27/2004 (AM),TRUE
"04/1/28/unscheduled-leave_64/"">unscheduled leave</a>",04/1/28/unscheduled-leave_64/,1/28/2004,FALSE
"04/2/3/delayed-arrival_1/"">delayed arrival</a>",04/2/3/delayed-arrival_1/,2/3/2004,FALSE
"04/6/8/unscheduled-leave-due-to-congestion_3/"">unscheduled leave due to congestion</a>",04/6/8/unscheduled-leave-due-to-congestion_3/,6/9/2004,FALSE
"04/6/11/closed-for-mourning_90/"">closed for mourning</a>",04/6/11/closed-for-mourning_90/,6/11/2004,FALSE
"05/1/19/inauguration-eve-2005_95/"">inauguration eve 2005</a>",05/1/19/inauguration-eve-2005_95/,1/19/2005,FALSE
"05/2/24/early-dismissal_108/"">early dismissal</a>",05/2/24/early-dismissal_108/,2/24/2005,FALSE
"05/2/28/unscheduled-leave_112/"">unscheduled leave</a>",05/2/28/unscheduled-leave_112/,2/28/2005,FALSE
"05/12/9/delayed-arrivalunscheduled-leave_125/"">delayed arrival/unscheduled leave</a>",05/12/9/delayed-arrivalunscheduled-leave_125/,12/9/2005,FALSE
"06/2/12/unscheduled-leave_132/"">unscheduled leave</a>",06/2/12/unscheduled-leave_132/,2/13/2006,FALSE
"06/6/26/unscheduled-leave_146/"">unscheduled leave</a>",06/6/26/unscheduled-leave_146/,6/26/2006,FALSE
"06/6/26/unscheduled-leave_137/"">unscheduled leave</a>",06/6/26/unscheduled-leave_137/,6/27/2006,FALSE
"06/6/27/unscheduled-leave_156/"">unscheduled leave</a>",06/6/27/unscheduled-leave_156/,6/28/2006,FALSE
"07/1/2/closed-for-mourning_165/"">closed for mourning</a>",07/1/2/closed-for-mourning_165/,1/2/2007,FALSE
"07/1/21/unscheduled-leave_171/"">unscheduled leave</a>",07/1/21/unscheduled-leave_171/,1/22/2007,FALSE
"07/2/13/early-dismissal_174/"">early dismissal</a>",07/2/13/early-dismissal_174/,2/13/2007,FALSE
"07/2/14/unscheduled-leave_180/"">unscheduled leave</a>",07/2/14/unscheduled-leave_180/,2/14/2007,FALSE
"07/2/14/delayed-arrivalunscheduled-leave_177/"">delayed arrival/unscheduled leave</a>",07/2/14/delayed-arrivalunscheduled-leave_177/,2/15/2007,FALSE
"07/2/25/unscheduled-leave_183/"">unscheduled leave</a>",07/2/25/unscheduled-leave_183/,2/26/2007,FALSE
"07/12/5/unscheduled-leave_190/"">unscheduled leave</a>",07/12/5/unscheduled-leave_190/,12/6/2007,FALSE
"08/2/13/delayed-arrivalunscheduled-leave_193/"">delayed arrival/unscheduled leave</a>",08/2/13/delayed-arrivalunscheduled-leave_193/,2/13/2008,FALSE
"08/2/22/unscheduled-leave_195/"">unscheduled leave</a>",08/2/22/unscheduled-leave_195/,2/22/2008,FALSE
"08/4/14/papal-visit-week_198/"">papal visit week</a>",08/4/14/papal-visit-week_198/,4/15/2008,FALSE
