"appl_date","day","mo","year","yq","q","status","freq","snow","snwd","name","lines","path","d","season"
"1998-01-01","Thursday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-01,"winter 1997-1998"
"1998-01-02","Friday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-02,"winter 1997-1998"
"1998-01-03","Saturday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-03,"winter 1997-1998"
"1998-01-04","Sunday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-04,"winter 1997-1998"
"1998-01-05","Monday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-05,"winter 1997-1998"
"1998-01-06","Tuesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-06,"winter 1997-1998"
"1998-01-07","Wednesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-07,"winter 1997-1998"
"1998-01-08","Thursday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-08,"winter 1997-1998"
"1998-01-09","Friday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-09,"winter 1997-1998"
"1998-01-10","Saturday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-10,"winter 1997-1998"
"1998-01-11","Sunday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-11,"winter 1997-1998"
"1998-01-12","Monday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-12,"winter 1997-1998"
"1998-01-13","Tuesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-13,"winter 1997-1998"
"1998-01-14","Wednesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-14,"winter 1997-1998"
"1998-01-15","Thursday",1,1998,1998.1,1,"Unscheduled Leave",1,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743","98/1/15/unscheduled-leave_8/"">unscheduled leave</a>","https://www.opm.gov/policy-data-oversight/snow-dismissal-procedures/status-archives/98/1/15/unscheduled-leave_8/",1998-01-15,"winter 1997-1998"
"1998-01-16","Friday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-16,"winter 1997-1998"
"1998-01-17","Saturday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-17,"winter 1997-1998"
"1998-01-18","Sunday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-18,"winter 1997-1998"
"1998-01-19","Monday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-19,"winter 1997-1998"
"1998-01-20","Tuesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-20,"winter 1997-1998"
"1998-01-21","Wednesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-21,"winter 1997-1998"
"1998-01-22","Thursday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-22,"winter 1997-1998"
"1998-01-23","Friday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-23,"winter 1997-1998"
"1998-01-24","Saturday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-24,"winter 1997-1998"
"1998-01-25","Sunday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-25,"winter 1997-1998"
"1998-01-26","Monday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-26,"winter 1997-1998"
"1998-01-27","Tuesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-27,"winter 1997-1998"
"1998-01-28","Wednesday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-28,"winter 1997-1998"
"1998-01-29","Thursday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-29,"winter 1997-1998"
"1998-01-30","Friday",1,1998,1998.1,1,NA,0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-30,"winter 1997-1998"
"1998-01-31","Saturday",1,1998,1998.1,1,"Weekend",0,0,0,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-01-31,"winter 1997-1998"
"1998-02-01","Sunday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-01,"winter 1997-1998"
"1998-02-02","Monday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-02,"winter 1997-1998"
"1998-02-03","Tuesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-03,"winter 1997-1998"
"1998-02-04","Wednesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-04,"winter 1997-1998"
"1998-02-05","Thursday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-05,"winter 1997-1998"
"1998-02-06","Friday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-06,"winter 1997-1998"
"1998-02-07","Saturday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-07,"winter 1997-1998"
"1998-02-08","Sunday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-08,"winter 1997-1998"
"1998-02-09","Monday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-09,"winter 1997-1998"
"1998-02-10","Tuesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-10,"winter 1997-1998"
"1998-02-11","Wednesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-11,"winter 1997-1998"
"1998-02-12","Thursday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-12,"winter 1997-1998"
"1998-02-13","Friday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-13,"winter 1997-1998"
"1998-02-14","Saturday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-14,"winter 1997-1998"
"1998-02-15","Sunday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-15,"winter 1997-1998"
"1998-02-16","Monday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-16,"winter 1997-1998"
"1998-02-17","Tuesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-17,"winter 1997-1998"
"1998-02-18","Wednesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-18,"winter 1997-1998"
"1998-02-19","Thursday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-19,"winter 1997-1998"
"1998-02-20","Friday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-20,"winter 1997-1998"
"1998-02-21","Saturday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-21,"winter 1997-1998"
"1998-02-22","Sunday",2,1998,1998.1,1,"Weekend",0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-22,"winter 1997-1998"
"1998-02-23","Monday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-23,"winter 1997-1998"
"1998-02-24","Tuesday",2,1998,1998.1,1,NA,0,0,NA,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US - USW00013743",NA,NA,1998-02-24,"winter 1997-1998"
